account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-2e4581,Zenith Consulting,EdTech,US,2024-10-16,partner,Basic,9,False,False
A-43a9e3,PulseCore Collective,FinTech,IN,2023-08-17,other,Basic,18,False,True
A-0a282f,IronWorks Holdings,DevTools,US,2024-08-27,organic,Basic,1,False,False
A-1f0ac7,IronWorks Analytics,HealthTech,UK,2023-08-27,other,Basic,24,True,False
A-ce550d,UrbanCart Group,HealthTech,US,2024-10-27,event,Enterprise,35,False,True
A-1b9609,EduSphere Technologies,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False
A-a0ca4e,ByteForge Digital,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False
A-e5d6ab,CapitalEdge Solutions,EdTech,US,2023-04-15,partner,Pro,3,False,False
A-7dacce,EduSphere Consulting,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True
A-10b8da,UrbanCart Collective,DevTools,US,2023-05-08,partner,Enterprise,14,False,True
A-592832,Apex Solutions,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True
A-d40bf7,BioNova Digital,FinTech,IN,2024-11-08,organic,Basic,59,False,False
A-6c093d,Pioneer Labs,DevTools,US,2023-04-14,partner,Basic,7,True,False
A-462d45,LearnBridge Technologies,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False
A-956988,MediCore Digital,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False
A-ac14bb,BlueRiver Holdings,FinTech,US,2023-09-08,partner,Enterprise,21,False,False
A-463db0,SteelBridge Analytics,HealthTech,US,2024-12-05,partner,Basic,15,False,False
A-ce66f8,PrimeForge Global,EdTech,CA,2023-08-23,event,Pro,29,False,False
A-c4ea60,Pioneer Technologies,FinTech,DE,2023-03-09,other,Enterprise,18,False,True
A-832ec2,TradeHub Systems,FinTech,UK,2023-11-19,event,Enterprise,4,True,False
A-684255,PulseCore Digital,FinTech,US,2024-04-14,ads,Enterprise,9,False,False
A-c42f1f,IronWorks Labs,HealthTech,US,2024-07-28,other,Pro,8,False,False
A-4e44e8,MarketSphere Digital,DevTools,US,2024-08-20,ads,Enterprise,3,False,True
A-30b4ca,LearnBridge Systems,EdTech,IN,2024-05-20,organic,Basic,86,False,True
A-9f2731,HealthBridge Holdings,FinTech,IN,2024-10-04,event,Enterprise,1,False,False
A-32fb14,CoreFab Collective,DevTools,US,2023-03-07,event,Enterprise,26,False,True
